,prompt,classes,answer_index
0,"The following are multiple choice questions (with answers) about common sense.
        
Question: Drums is not made of
A. wood
B. steel
Answer:","[' A', ' B']",1
1,"The following are multiple choice questions (with answers) about common sense.
        
Question: Horses do not run
A. hard
B. fast
Answer:","[' A', ' B']",0
2,"The following are multiple choice questions (with answers) about common sense.
        
Question: Fiddling does not require
A. practice
B. flexibility
Answer:","[' A', ' B']",1
3,"The following are multiple choice questions (with answers) about common sense.
        
Question: Smiling does not indicate
A. wisdom
B. happiness
Answer:","[' A', ' B']",0
4,"The following are multiple choice questions (with answers) about common sense.
        
Question: Helicoptors cannot
A. fly
B. climb
Answer:","[' A', ' B']",1
5,"The following are multiple choice questions (with answers) about common sense.
        
Question: Moths do not have
A. claws
B. wings
Answer:","[' A', ' B']",0
6,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cocaine is not
A. illegal
B. common
Answer:","[' A', ' B']",1
7,"The following are multiple choice questions (with answers) about common sense.
        
Question: Trash cannot be
A. dangerous
B. recycled
Answer:","[' A', ' B']",0
8,"The following are multiple choice questions (with answers) about common sense.
        
Question: Name is not proper
A. noun
B. address
Answer:","[' A', ' B']",1
9,"The following are multiple choice questions (with answers) about common sense.
        
Question: Skating does not require
A. clothing
B. coordination
Answer:","[' A', ' B']",0
10,"The following are multiple choice questions (with answers) about common sense.
        
Question: Doves cannot
A. fly
B. talk
Answer:","[' A', ' B']",1
11,"The following are multiple choice questions (with answers) about common sense.
        
Question: Burlap is not a type of
A. mattress
B. fabric
Answer:","[' A', ' B']",0
12,"The following are multiple choice questions (with answers) about common sense.
        
Question: Olives cannot be
A. eaten
B. smoked
Answer:","[' A', ' B']",1
13,"The following are multiple choice questions (with answers) about common sense.
        
Question: Bottle cannot be made of
A. clay
B. plastic
Answer:","[' A', ' B']",0
14,"The following are multiple choice questions (with answers) about common sense.
        
Question: Crying is not part of
A. life
B. love
Answer:","[' A', ' B']",1
15,"The following are multiple choice questions (with answers) about common sense.
        
Question: Success does not require extra
A. money
B. effort
Answer:","[' A', ' B']",0
16,"The following are multiple choice questions (with answers) about common sense.
        
Question: A beagle is not a type of
A. dog
B. pigeon
Answer:","[' A', ' B']",1
17,"The following are multiple choice questions (with answers) about common sense.
        
Question: Indigo is not a
A. flower
B. color
Answer:","[' A', ' B']",0
18,"The following are multiple choice questions (with answers) about common sense.
        
Question: A nutdriver is not a type of
A. tool
B. screw
Answer:","[' A', ' B']",1
19,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some stoves are not
A. plastic
B. electric
Answer:","[' A', ' B']",0
20,"The following are multiple choice questions (with answers) about common sense.
        
Question: An auk is not a type of
A. bird
B. whale
Answer:","[' A', ' B']",1
21,"The following are multiple choice questions (with answers) about common sense.
        
Question: Floriade is not a
A. forest
B. festival
Answer:","[' A', ' B']",0
22,"The following are multiple choice questions (with answers) about common sense.
        
Question: Accuracy is not a
A. virtue
B. constant
Answer:","[' A', ' B']",1
23,"The following are multiple choice questions (with answers) about common sense.
        
Question: The Crips is not a type of
A. terrorist
B. gang
Answer:","[' A', ' B']",0
24,"The following are multiple choice questions (with answers) about common sense.
        
Question: Leafs are not
A. green
B. white
Answer:","[' A', ' B']",1
25,"The following are multiple choice questions (with answers) about common sense.
        
Question: A Walkman is not a type of
A. synthesizer
B. radio
Answer:","[' A', ' B']",0
26,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cans cannot be
A. recycled
B. locked
Answer:","[' A', ' B']",1
27,"The following are multiple choice questions (with answers) about common sense.
        
Question: Fishermen cannot catch
A. flies
B. fish
Answer:","[' A', ' B']",0
28,"The following are multiple choice questions (with answers) about common sense.
        
Question: Toothpick is not made of
A. plastic
B. clay
Answer:","[' A', ' B']",1
29,"The following are multiple choice questions (with answers) about common sense.
        
Question: LSD is not a
A. disease
B. drug
Answer:","[' A', ' B']",0
30,"The following are multiple choice questions (with answers) about common sense.
        
Question: Study is not part of
A. education
B. discipline
Answer:","[' A', ' B']",1
31,"The following are multiple choice questions (with answers) about common sense.
        
Question: Lizards do not have a
A. song
B. tail
Answer:","[' A', ' B']",0
32,"The following are multiple choice questions (with answers) about common sense.
        
Question: Coconuts cannot be
A. eaten
B. smoked
Answer:","[' A', ' B']",1
33,"The following are multiple choice questions (with answers) about common sense.
        
Question: Organisms cannot
A. escape
B. die
Answer:","[' A', ' B']",0
34,"The following are multiple choice questions (with answers) about common sense.
        
Question: COBOL is not a
A. language
B. dialect
Answer:","[' A', ' B']",1
35,"The following are multiple choice questions (with answers) about common sense.
        
Question: Most animals do not have
A. wings
B. eyes
Answer:","[' A', ' B']",0
36,"The following are multiple choice questions (with answers) about common sense.
        
Question: Child does not want
A. love
B. marriage
Answer:","[' A', ' B']",1
37,"The following are multiple choice questions (with answers) about common sense.
        
Question: Scamper is not
A. alive
B. dead
Answer:","[' A', ' B']",0
38,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some newspapers are not
A. free
B. open
Answer:","[' A', ' B']",1
39,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sword is not made of
A. bone
B. steel
Answer:","[' A', ' B']",0
40,"The following are multiple choice questions (with answers) about common sense.
        
Question: Typing is not for
A. fun
B. survival
Answer:","[' A', ' B']",1
41,"The following are multiple choice questions (with answers) about common sense.
        
Question: Percussion instruments is not made of
A. clay
B. wood
Answer:","[' A', ' B']",0
42,"The following are multiple choice questions (with answers) about common sense.
        
Question: Kindness is not a
A. virtue
B. weakness
Answer:","[' A', ' B']",1
43,"The following are multiple choice questions (with answers) about common sense.
        
Question: Dependability is not a
A. problem
B. virtue
Answer:","[' A', ' B']",0
44,"The following are multiple choice questions (with answers) about common sense.
        
Question: Some cupboards is not made of
A. wood
B. iron
Answer:","[' A', ' B']",1
45,"The following are multiple choice questions (with answers) about common sense.
        
Question: Synapse is not part of
A. metabolism
B. brain
Answer:","[' A', ' B']",0
46,"The following are multiple choice questions (with answers) about common sense.
        
Question: An sword cannot
A. kill
B. fly
Answer:","[' A', ' B']",1
47,"The following are multiple choice questions (with answers) about common sense.
        
Question: A duvet cannot be made of
A. wood
B. cotton
Answer:","[' A', ' B']",0
48,"The following are multiple choice questions (with answers) about common sense.
        
Question: Tuberculosis is not a
A. disease
B. disorder
Answer:","[' A', ' B']",1
49,"The following are multiple choice questions (with answers) about common sense.
        
Question: Mail is not a type of
A. convention
B. communication
Answer:","[' A', ' B']",0
50,"The following are multiple choice questions (with answers) about common sense.
        
Question: Skating does not require
A. coordination
B. tire
Answer:","[' A', ' B']",1
51,"The following are multiple choice questions (with answers) about common sense.
        
Question: Percussion instruments is not made of
A. ions
B. wood
Answer:","[' A', ' B']",0
52,"The following are multiple choice questions (with answers) about common sense.
        
Question: Decisions do not have
A. consequences
B. toes
Answer:","[' A', ' B']",1
53,"The following are multiple choice questions (with answers) about common sense.
        
Question: Fiddling does not require
A. license
B. practice
Answer:","[' A', ' B']",0
54,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cans cannot be
A. recycled
B. impressed
Answer:","[' A', ' B']",1
55,"The following are multiple choice questions (with answers) about common sense.
        
Question: Synapse is not part of
A. nucleus
B. brain
Answer:","[' A', ' B']",0
56,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes listening does not cause
A. pain
B. butterflies
Answer:","[' A', ' B']",1
57,"The following are multiple choice questions (with answers) about common sense.
        
Question: Lizards are not small
A. magazine
B. animals
Answer:","[' A', ' B']",0
58,"The following are multiple choice questions (with answers) about common sense.
        
Question: Rats cannot
A. bite
B. sadness
Answer:","[' A', ' B']",1
59,"The following are multiple choice questions (with answers) about common sense.
        
Question: Dog does not have
A. side
B. teeth
Answer:","[' A', ' B']",0
60,"The following are multiple choice questions (with answers) about common sense.
        
Question: Desks cannot be made of
A. wood
B. scales
Answer:","[' A', ' B']",1
61,"The following are multiple choice questions (with answers) about common sense.
        
Question: Acting is not an
A. parallelogram
B. art
Answer:","[' A', ' B']",0
62,"The following are multiple choice questions (with answers) about common sense.
        
Question: Crustacean is not a type of
A. animal
B. pub
Answer:","[' A', ' B']",1
63,"The following are multiple choice questions (with answers) about common sense.
        
Question: Cyprus is not an
A. accessory
B. island
Answer:","[' A', ' B']",0
64,"The following are multiple choice questions (with answers) about common sense.
        
Question: A duvet cannot be made of
A. cotton
B. haemoglobin
Answer:","[' A', ' B']",1
65,"The following are multiple choice questions (with answers) about common sense.
        
Question: Birds cannot
A. barn
B. fly
Answer:","[' A', ' B']",0
66,"The following are multiple choice questions (with answers) about common sense.
        
Question: Olives cannot be
A. eaten
B. slowly
Answer:","[' A', ' B']",1
67,"The following are multiple choice questions (with answers) about common sense.
        
Question: Sometimes skiing does not cause
A. social
B. accidents
Answer:","[' A', ' B']",0
68,"The following are multiple choice questions (with answers) about common sense.
        
Question: TNT cannot
A. explode
B. art
Answer:","[' A', ' B']",1
69,"The following are multiple choice questions (with answers) about common sense.
        
Question: A banjo is not made of
A. thoughts
B. wood
Answer:","[' A', ' B']",0
70,"The following are multiple choice questions (with answers) about common sense.
        
Question: A bubble cannot
A. burst
B. flips
Answer:","[' A', ' B']",1
71,"The following are multiple choice questions (with answers) about common sense.
        
Question: A beagle is not a type of
A. sphenisciform
B. dog
Answer:","[' A', ' B']",0
72,"The following are multiple choice questions (with answers) about common sense.
        
Question: A beluga is not a type of
A. whale
B. occasion
Answer:","[' A', ' B']",1
73,"The following are multiple choice questions (with answers) about common sense.
        
Question: Tuberculosis is not a
A. jelous
B. disease
Answer:","[' A', ' B']",0
74,"The following are multiple choice questions (with answers) about common sense.
        
Question: Child does not want
A. love
B. lab
Answer:","[' A', ' B']",1
75,"The following are multiple choice questions (with answers) about common sense.
        
Question: Wyoming is not a
A. box
B. state
Answer:","[' A', ' B']",0
76,"The following are multiple choice questions (with answers) about common sense.
        
Question: Smiling is not
A. good
B. fog
Answer:","[' A', ' B']",1
77,"The following are multiple choice questions (with answers) about common sense.
        
Question: Aluminium cannot be
A. bath
B. recycled
Answer:","[' A', ' B']",0
78,"The following are multiple choice questions (with answers) about common sense.
        
Question: Deserts cannot be
A. dangerous
B. moving
Answer:","[' A', ' B']",1
79,"The following are multiple choice questions (with answers) about common sense.
        
Question: Crying is not part of
A. tradition
B. life
Answer:","[' A', ' B']",0
